accession	message	sample_name	replicate	description	geo_loc_name	collection_date	sample_title	organism	environmental_medium	lat_lon	depth	elevation	broad_scale_environmental_context	local_scale_environmental_context	annual_and_seasonal_precipitation	annual_and_seasonal_temperature	geodiversity	niche	hillslope
SAMN17684494	Successfully loaded	AS3020	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684494	These attribute values are not valid. An automatically-generated correction will be applied.	AS3020	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684495	Successfully loaded	AS3021	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684495	These attribute values are not valid. An automatically-generated correction will be applied.	AS3021	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684496	Successfully loaded	AS3022	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684496	These attribute values are not valid. An automatically-generated correction will be applied.	AS3022	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684497	Successfully loaded	AS3023	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684497	These attribute values are not valid. An automatically-generated correction will be applied.	AS3023	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684498	Successfully loaded	AS3024	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684498	These attribute values are not valid. An automatically-generated correction will be applied.	AS3024	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O3
SAMN17684499	Successfully loaded	AS3000	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684499	These attribute values are not valid. An automatically-generated correction will be applied.	AS3000	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684500	Successfully loaded	AS3001	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684500	These attribute values are not valid. An automatically-generated correction will be applied.	AS3001	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684501	Successfully loaded	AS3002	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684501	These attribute values are not valid. An automatically-generated correction will be applied.	AS3002	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684502	Successfully loaded	AS3003	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684502	These attribute values are not valid. An automatically-generated correction will be applied.	AS3003	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684503	Successfully loaded	AS3004	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684503	These attribute values are not valid. An automatically-generated correction will be applied.	AS3004	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O1
SAMN17684504	Successfully loaded	AS3010	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684504	These attribute values are not valid. An automatically-generated correction will be applied.	AS3010	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684505	Successfully loaded	AS3011	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684505	These attribute values are not valid. An automatically-generated correction will be applied.	AS3011	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684506	Successfully loaded	AS3012	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684506	These attribute values are not valid. An automatically-generated correction will be applied.	AS3012	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684507	Successfully loaded	AS3013	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684507	These attribute values are not valid. An automatically-generated correction will be applied.	AS3013	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684508	Successfully loaded	AS3014	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
SAMN17684508	These attribute values are not valid. An automatically-generated correction will be applied.	AS3014	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from under the phylosphere of Noaea mucronata on the O2 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	under the phylosphere of Noaea mucronata	O2
